collision,prediction_1,class
0,0,00
0,1,01
0,1,01
1,0,10
1,0,10
0,1,01
0,1,01
1,0,10
0,0,00
0,1,01
0,1,01
0,1,01
0,1,01
0,0,00
1,0,10
0,1,01
0,1,01
0,1,01
0,1,01
0,0,00
0,1,01
1,0,10
0,1,01
0,0,00
1,0,10
1,0,10
0,1,01
0,1,01
0,1,01
0,0,00
0,1,01
0,1,01
0,1,01
1,0,10
0,1,01
0,1,01
1,0,10
1,0,10
0,1,01
0,1,01
1,0,10
0,1,01
0,1,01
0,0,00
1,0,10
0,1,01
0,1,01
0,1,01
1,0,10
0,0,00
1,0,10
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
0,0,00
0,1,01
0,1,01
0,1,01
0,1,01
1,0,10
1,0,10
0,1,01
1,0,10
0,0,00
0,1,01
0,1,01
0,1,01
0,0,00
0,1,01
1,0,10
0,1,01
1,0,10
0,1,01
0,1,01
0,1,01
0,1,01
0,0,00
0,0,00
0,0,00
1,0,10
0,1,01
0,1,01
0,1,01
1,0,10
0,1,01
0,0,00
0,1,01
1,0,10
0,1,01
0,0,00
0,1,01
0,0,00
0,1,01
0,0,00
0,1,01
1,0,10
1,0,10
0,0,00
0,1,01
0,1,01
0,1,01
1,0,10
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
1,0,10
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
1,0,10
0,0,00
0,1,01
0,1,01
0,1,01
0,0,00
0,1,01
0,0,00
0,1,01
0,1,01
1,0,10
0,1,01
0,0,00
0,1,01
1,0,10
0,0,00
0,1,01
1,0,10
0,1,01
0,1,01
0,0,00
1,0,10
0,1,01
0,1,11
0,1,01
1,0,10
0,1,01
0,0,00
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
1,0,10
0,1,01
0,0,00
1,0,10
0,1,01
0,1,01
0,1,01
0,1,01
1,0,10
1,0,10
0,1,01
0,1,11
0,0,00
0,1,01
0,1,01
0,1,01
1,0,10
0,1,01
1,0,10
0,1,01
0,1,01
0,1,11
0,1,01
0,1,01
0,1,01
1,0,10
1,0,10
0,1,01
0,1,11
0,1,01
0,0,00
0,1,01
0,1,11
1,0,10
0,0,00
0,1,01
0,1,01
1,0,10
1,0,10
0,1,01
1,0,10
0,1,01
0,1,01
1,0,10
0,1,01
0,1,01
0,1,01
0,1,01
0,0,00
0,1,01
0,0,00
0,1,01
0,1,01
0,1,01
1,0,10
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
0,0,00
0,1,01
0,0,00
0,1,01
0,1,01
0,1,01
0,1,01
0,0,00
0,1,01
0,1,01
0,0,00
0,1,01
1,0,10
0,1,01
1,0,10
0,1,01
1,0,10
0,1,01
0,0,00
0,1,01
0,1,01
1,0,10
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
0,0,00
0,0,00
0,1,01
1,0,10
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
0,0,00
0,1,01
0,0,00
1,0,10
0,1,01
0,1,01
0,1,01
0,1,01
0,0,00
0,0,00
0,1,01
1,0,10
1,0,10
1,0,10
1,0,10
0,1,01
0,1,01
1,0,10
0,0,00
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
0,0,00
0,1,01
0,1,01
1,0,10
0,0,00
0,1,01
1,0,10
0,0,00
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
0,0,00
1,0,10
0,1,01
1,0,10
0,0,00
0,0,00
0,0,00
0,0,00
0,1,01
0,0,00
0,1,01
0,1,01
0,1,01
0,1,01
0,0,00
0,1,01
1,0,10
0,1,01
0,0,00
0,1,01
0,0,00
0,1,01
0,0,00
0,1,01
0,1,01
0,1,11
1,0,10
0,1,01
0,1,01
0,1,01
1,0,10
0,1,01
1,0,10
0,1,01
1,0,10
0,1,01
0,1,01
0,1,01
0,1,01
0,0,00
1,0,10
0,0,00
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
0,1,11
0,0,00
1,0,10
0,1,01
0,1,01
1,0,10
0,1,11
1,0,10
0,1,01
0,1,01
0,1,01
0,0,00
0,1,01
0,1,01
0,1,01
0,0,00
0,1,01
0,1,01
0,1,01
0,1,11
0,0,00
1,0,10
0,1,01
0,1,01
0,1,01
0,0,00
1,0,10
0,1,01
0,0,00
0,1,01
0,1,01
0,1,01
0,0,00
1,0,10
0,1,01
0,1,01
0,1,01
1,0,10
0,0,00
0,1,01
0,1,01
0,1,01
1,0,10
0,0,00
1,0,10
0,1,01
0,1,01
1,0,10
0,1,01
0,1,01
0,1,01
1,0,10
1,0,10
0,1,01
0,1,01
0,1,01
0,1,11
1,0,10
0,1,01
0,1,01
0,1,01
0,1,01
1,0,10
0,0,00
0,1,01
1,0,10
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
0,0,00
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
0,0,00
0,1,01
0,1,01
1,0,10
0,1,01
0,1,11
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
0,0,00
0,1,01
0,0,00
0,1,01
0,1,01
0,1,01
0,0,00
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
0,0,00
0,1,01
0,0,00
0,1,01
0,1,01
0,1,01
1,0,10
0,1,01
0,1,01
0,0,00
1,0,10
0,0,00
1,0,10
0,0,00
1,0,10
0,0,00
1,0,10
1,0,10
0,0,00
0,1,01
0,1,01
0,1,01
0,1,01
1,0,10
0,1,01
0,1,01
0,0,00
0,1,01
0,0,00
1,0,10
1,0,10
1,0,10
0,1,01
0,1,01
0,1,01
1,0,10
0,1,01
1,0,10
0,1,11
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
1,0,10
0,1,01
0,1,01
1,0,10
0,1,01
1,0,10
1,0,10
1,0,10
0,1,01
0,1,01
1,0,10
0,1,11
0,1,01
0,1,01
0,1,01
1,0,10
0,1,01
0,1,01
1,0,10
0,1,01
1,0,10
0,1,01
0,1,01
0,1,01
0,1,01
0,0,00
0,0,00
1,0,10
0,1,01
0,1,01
1,0,10
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
0,0,00
0,1,01
0,0,00
0,1,01
0,1,01
0,0,00
0,1,01
1,0,10
1,0,10
0,1,11
0,1,01
1,0,10
0,1,01
0,1,01
0,1,01
0,1,01
0,0,00
0,0,00
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
0,0,00
0,1,01
0,0,00
0,1,01
1,0,10
0,1,01
0,1,01
0,1,01
0,1,01
0,0,00
0,1,01
1,0,10
0,0,00
0,1,01
0,1,01
0,0,00
1,0,10
0,1,01
0,1,01
0,0,00
0,1,01
0,1,01
0,0,00
1,0,10
0,1,01
0,1,01
1,0,10
1,0,10
0,1,01
1,0,10
0,1,11
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
0,1,11
0,1,01
0,1,01
0,0,00
0,0,00
1,0,10
0,1,01
0,1,01
0,0,00
0,1,01
0,0,00
0,1,01
1,0,10
0,1,01
0,1,01
0,0,00
0,0,00
0,0,00
0,1,01
0,1,01
0,1,01
1,0,10
0,1,01
1,0,10
0,1,01
0,1,01
0,0,00
0,1,01
0,0,00
0,1,01
1,0,10
0,1,01
0,1,01
0,1,01
1,0,10
0,1,01
0,1,01
1,0,10
1,0,10
0,0,00
1,0,10
1,0,10
1,0,10
0,1,01
1,0,10
0,1,01
1,0,10
0,0,00
0,1,01
1,0,10
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
0,0,00
0,1,01
0,1,01
0,1,01
1,0,10
0,1,01
0,1,01
0,1,01
0,1,01
0,0,00
1,0,10
0,1,01
0,1,01
1,0,10
0,1,01
0,1,01
1,0,10
0,1,01
0,1,01
0,1,01
0,0,00
0,1,01
0,0,00
0,1,01
0,0,00
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
0,0,00
0,1,01
1,0,10
0,0,00
0,1,11
0,0,00
0,1,01
0,1,01
1,0,10
0,1,01
0,0,00
0,1,01
0,0,00
0,1,01
0,0,00
0,1,01
0,1,01
1,0,10
0,1,01
1,0,10
0,1,11
0,1,01
0,1,01
0,1,01
1,0,10
0,1,01
0,0,00
0,1,01
1,0,10
0,1,01
0,1,01
0,0,00
0,0,00
0,1,01
0,1,01
0,0,00
1,0,10
0,1,01
1,0,10
0,1,01
0,1,01
0,1,01
0,0,00
0,0,00
0,1,01
0,0,00
1,0,10
0,0,00
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
1,0,10
1,0,10
0,0,00
1,0,10
1,0,10
0,1,01
0,0,00
0,1,01
1,0,10
0,0,00
0,0,00
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
1,0,10
1,0,10
1,0,10
0,1,01
1,0,10
0,1,01
0,1,01
1,0,10
0,1,01
0,1,01
0,0,00
0,1,01
0,0,00
1,0,10
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
0,1,11
1,0,10
1,0,10
1,0,10
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
0,0,00
0,1,01
0,1,01
1,0,10
0,0,00
0,1,01
0,1,01
0,1,01
1,0,10
0,0,00
0,1,01
1,0,10
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
1,0,10
0,1,01
0,0,00
0,0,00
0,1,11
0,1,01
0,1,01
0,1,01
0,0,00
0,1,01
0,0,00
0,1,01
0,0,00
0,1,01
0,1,01
0,1,01
0,1,01
1,0,10
0,1,01
0,1,01
0,0,00
0,1,01
0,0,00
0,1,01
0,0,00
0,1,01
1,0,10
0,0,00
0,0,00
1,0,10
1,0,10
0,1,01
1,0,10
1,0,10
1,0,10
0,1,01
1,0,10
0,1,01
0,1,01
0,1,01
1,0,10
0,1,01
0,1,01
0,1,01
1,0,10
0,1,01
0,1,01
1,0,10
1,0,10
0,1,01
0,0,00
0,1,01
0,0,00
1,0,10
0,0,00
0,1,01
0,1,01
0,1,01
0,0,00
0,1,01
0,1,01
0,1,01
0,1,01
1,0,10
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
1,0,10
0,1,01
0,1,01
0,0,00
1,0,10
0,0,00
0,1,01
0,1,01
0,0,00
1,0,10
1,0,10
0,1,01
0,1,01
0,0,00
0,1,01
0,0,00
0,1,01
0,0,00
0,1,01
0,0,00
0,1,01
0,0,00
0,1,01
1,0,10
0,0,00
0,1,01
0,1,01
0,0,00
0,1,01
0,1,01
0,1,01
0,1,01
0,0,00
0,1,01
1,0,10
0,1,01
0,1,01
0,1,01
0,1,01
0,0,00
0,0,00
1,0,10
0,1,01
0,1,01
1,0,10
0,1,01
0,1,01
0,1,01
0,0,00
0,0,00
0,1,01
0,1,01
0,1,01
0,1,01
0,0,00
0,1,01
0,0,00
0,0,00
0,1,01
0,1,01
0,1,01
0,0,00
0,1,01
0,1,01
0,0,00
0,0,00
0,1,01
0,1,01
0,1,01
0,1,01
0,0,00
0,1,01
0,0,00
0,0,00
0,0,00
0,1,01
0,1,01
0,0,00
0,1,01
0,1,01
0,0,00
0,1,01
1,0,10
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
0,0,00
0,0,00
1,0,10
1,0,10
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
1,0,10
0,0,00
0,1,01
0,1,01
0,0,00
0,1,01
0,1,01
1,0,10
0,1,01
0,1,01
0,1,01
0,1,11
0,1,01
0,0,00
0,1,01
0,1,01
0,1,01
1,0,10
0,1,01
0,1,01
0,1,01
0,1,01
1,0,10
0,1,01
0,1,01
0,0,00
0,1,01
0,1,01
0,1,01
0,0,00
0,0,00
0,0,00
0,0,00
0,1,01
0,0,00
1,0,10
0,1,01
0,0,00
0,1,01
1,0,10
0,1,01
0,1,01
1,0,10
0,0,00
1,0,10
0,1,01
0,1,01
0,1,01
0,0,00
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
0,0,00
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
0,0,00
0,0,00
0,0,00
0,0,00
1,0,10
0,1,11
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
0,1,01
0,0,00
1,0,10
0,1,01
0,1,01
0,1,01
0,1,11
0,0,00
0,1,01
0,1,01
0,1,01
0,1,01
